policy,true_class,predicted_class,rows
scorer_only,brute_force,dos,0
scorer_only,brute_force,infiltration,0
scorer_only,brute_force,web_attacks,0
scorer_only,ddos,benign,452
scorer_only,ddos,bot,0
scorer_only,ddos,brute_force,0
scorer_only,ddos,ddos,262218
scorer_only,ddos,dos,0
scorer_only,ddos,infiltration,10
scorer_only,ddos,web_attacks,0
scorer_only,dos,benign,615
scorer_only,dos,bot,0
scorer_only,dos,brute_force,0
scorer_only,dos,ddos,0
scorer_only,dos,dos,38868
scorer_only,dos,infiltration,0
scorer_only,dos,web_attacks,0
scorer_only,infiltration,benign,5945
scorer_only,infiltration,bot,0
scorer_only,infiltration,brute_force,0
scorer_only,infiltration,ddos,0
scorer_only,infiltration,dos,0
scorer_only,infiltration,infiltration,2733
scorer_only,infiltration,web_attacks,64
scorer_only,web_attacks,benign,16
scorer_only,web_attacks,bot,0
scorer_only,web_attacks,brute_force,0
scorer_only,web_attacks,ddos,0
scorer_only,web_attacks,dos,0
scorer_only,web_attacks,infiltration,0
scorer_only,web_attacks,web_attacks,111
scorer_verifier,benign,benign,2647875
scorer_verifier,benign,bot,5
scorer_verifier,benign,brute_force,0
scorer_verifier,benign,ddos,9
scorer_verifier,benign,dos,12
scorer_verifier,benign,infiltration,3938
scorer_verifier,benign,web_attacks,364
scorer_verifier,bot,benign,147
scorer_verifier,bot,bot,41395
scorer_verifier,bot,brute_force,0
scorer_verifier,bot,ddos,0
scorer_verifier,bot,dos,0
scorer_verifier,bot,infiltration,0
scorer_verifier,bot,web_attacks,0
scorer_verifier,brute_force,benign,20
scorer_verifier,brute_force,bot,0
scorer_verifier,brute_force,brute_force,37676
scorer_verifier,brute_force,ddos,0
scorer_verifier,brute_force,dos,0
scorer_verifier,brute_force,infiltration,0
scorer_verifier,brute_force,web_attacks,0
scorer_verifier,ddos,benign,452
scorer_verifier,ddos,bot,0
scorer_verifier,ddos,brute_force,0
scorer_verifier,ddos,ddos,262218
scorer_verifier,ddos,dos,0
scorer_verifier,ddos,infiltration,10
scorer_verifier,ddos,web_attacks,0
scorer_verifier,dos,benign,615
scorer_verifier,dos,bot,0
scorer_verifier,dos,brute_force,0
scorer_verifier,dos,ddos,0
scorer_verifier,dos,dos,38868
scorer_verifier,dos,infiltration,0
scorer_verifier,dos,web_attacks,0
scorer_verifier,infiltration,benign,5945
scorer_verifier,infiltration,bot,0
scorer_verifier,infiltration,brute_force,0
scorer_verifier,infiltration,ddos,0
scorer_verifier,infiltration,dos,0
scorer_verifier,infiltration,infiltration,2733
scorer_verifier,infiltration,web_attacks,64
scorer_verifier,web_attacks,benign,16
scorer_verifier,web_attacks,bot,0
scorer_verifier,web_attacks,brute_force,0
scorer_verifier,web_attacks,ddos,0
scorer_verifier,web_attacks,dos,0
scorer_verifier,web_attacks,infiltration,0
scorer_verifier,web_attacks,web_attacks,111
