arm,tau_pre,tau_post,delta_macro_f1,delta_tail_f1,delta_benign_fpr,helpful,harmful,changed,feasible,reason
decision_post_raw,0.0452093537896871,0.9774828553199768,0.00033579001982486645,0.0007803507157431167,0.0,12,0,12,False,support
decision_post_raw,0.0452093537896871,0.9825287461280823,0.0,0.0,0.0,0,0,0,False,support
decision_post_raw,0.2233036756515503,0.0,0.001172156654462242,0.014161309681745449,0.06916013437848856,2248,1544,3793,False,benign_fpr
decision_post_raw,0.2233036756515503,0.0002867408038582,0.0012006707223385371,0.014188586113927315,0.06893617021275522,2244,1539,3784,False,benign_fpr
decision_post_raw,0.2233036756515503,0.0053338916040956,0.0014999086323740363,0.014501746194466147,0.06674132138856737,2208,1490,3699,False,benign_fpr
decision_post_raw,0.2233036756515503,0.0190883897244928,0.0021619651478892443,0.015164588232434273,0.06167973124299153,2115,1377,3493,False,benign_fpr
decision_post_raw,0.2233036756515503,0.025076736696064472,0.0026792286509301766,0.015808552930468567,0.058454647256429904,2069,1305,3375,False,benign_fpr
decision_post_raw,0.2233036756515503,0.21494646966457345,0.013150973224066664,0.032250016114595326,0.010974244120938947,1089,245,1335,False,benign_fpr
decision_post_raw,0.2233036756515503,0.6335415244102478,0.015917928382903845,0.03729415209938419,0.002105263157894277,764,47,811,False,benign_fpr
decision_post_raw,0.2233036756515503,0.8705101013183594,0.016134852086246876,0.037639549777842896,0.0009854423292271486,660,22,682,False,benign_fpr
decision_post_raw,0.2233036756515503,0.929574728012085,0.005404618143108664,0.012595165237061279,0.00022396416573333688,202,5,207,True,
decision_post_raw,0.2233036756515503,0.9631971716880798,0.003524450439972404,0.008212035175691912,0.00013437849943997993,130,3,133,True,
decision_post_raw,0.2233036756515503,0.9705747365951538,0.0018178277987781488,0.004231736382836915,4.479283314662297e-05,66,1,67,True,
decision_post_raw,0.2233036756515503,0.9774828553199768,0.00033579001982486645,0.0007803507157431167,0.0,12,0,12,False,support
decision_post_raw,0.2233036756515503,0.9825287461280823,0.0,0.0,0.0,0,0,0,False,support
decision_post_raw,0.3964706435799598,0.0,0.0013523737519044454,0.014418110045458399,0.06821948488240803,2227,1523,3750,False,benign_fpr
decision_post_raw,0.3964706435799598,0.0002867408038582,0.0013810546208281593,0.014445814985856398,0.0679955207166747,2223,1518,3741,False,benign_fpr
decision_post_raw,0.3964706435799598,0.0053338916040956,0.0016821948357741423,0.01476379822367535,0.06580067189248673,2187,1469,3656,False,benign_fpr
decision_post_raw,0.3964706435799598,0.0190883897244928,0.002349326751078795,0.015446830239161158,0.06078387458005763,2096,1357,3453,False,benign_fpr
decision_post_raw,0.3964706435799598,0.025076736696064472,0.0028709861113430657,0.01610158330896061,0.05755879059349589,2050,1285,3335,False,benign_fpr
decision_post_raw,0.3964706435799598,0.21494646966457345,0.01329306410597686,0.032517146602606684,0.010571108622618675,1074,236,1310,False,benign_fpr
decision_post_raw,0.3964706435799598,0.6335415244102478,0.015917928382903845,0.03729415209938419,0.002105263157894277,764,47,811,False,benign_fpr
decision_post_raw,0.3964706435799598,0.8705101013183594,0.016134852086246876,0.037639549777842896,0.0009854423292271486,660,22,682,False,benign_fpr
decision_post_raw,0.3964706435799598,0.929574728012085,0.005404618143108664,0.012595165237061279,0.00022396416573333688,202,5,207,True,
decision_post_raw,0.3964706435799598,0.9631971716880798,0.003524450439972404,0.008212035175691912,0.00013437849943997993,130,3,133,True,
decision_post_raw,0.3964706435799598,0.9705747365951538,0.0018178277987781488,0.004231736382836915,4.479283314662297e-05,66,1,67,True,
